Departamento,Municipio,C10,C16,CMN,CA,TA, P10 , P16 , PDB10 , PDB16 , Superficie ,PCF10,PCF16
Zacapa,Zacapa,3484,3848,-364,-73,-2.11,67127.63766,61913.46981,519.0112629,621.5125742,50466.88495,6.903536851,7.624801895,
Zacapa,Estanzuela,60,88,-28,-6,-9.28,11140.27178,12236.30572,53.85865011,71.91713091,9199.391689,0.652217038,0.956584989,
Zacapa,Río Hondo,16514,16578,-64,-13,-0.08,17764.43339,18602.30027,9296.10286,8911.801102,45685.12406,36.14743386,36.28752322,
Zacapa,Gualán,20451,22027,-1576,-316,-1.54,39963.97497,41770.53967,5117.358825,5273.333831,78108.59316,26.18277858,28.20048232,
Zacapa,Teculután,9205,9741,-536,-109,-1.18,16673.40677,18944.84037,5520.767368,5141.769372,21174.19771,43.47272149,46.0041043,
Zacapa,Usumatlán,1268,1212,55,11,0.88,10636.25948,11991.04995,1192.148426,1010.753858,10810.67628,11.72914596,11.21113951,
Zacapa,Cabañas,323,273,50,10,3.2,11117.27122,11547.44407,290.5389224,236.4159534,13842.92238,2.333322338,1.972126929,
Zacapa,San Diego,569,426,144,29,5.09,5854.142819,6128.362714,971.9612548,695.1285684,10340.09683,5.502849824,4.119884051,
Zacapa,La Unión,5788,5819,-30,-6,-0.11,28650.69897,33432.10388,2020.195042,1740.54257,21450.37797,26.98320751,27.12772711,
Zacapa,Huité,163,240,-77,-16,-9.57,9582.23377,10488.39643,170.106474,228.8243027,8888.610713,1.833807389,2.700084498,
Zacapa,San Jorge,15,39,-23,-5,-30.31,0,13590.76167,-,28.69596345,-,-,-,
